Producto,Precio Coolmod,Precio PcComponentes,Similitud (%),Diferencia (€),MayorPrecio,Fecha
MSI Vector A16 HX A8WHG-050XES R9-7945HX RTX 5070Ti 32GB 1TB 16 FHD+ FreeDOS,1798.95,1934.03,90,-135.08,PcComponentes,2026-04-15
MSI Vector A16 HX A8WHG-050XES R9-7945HX RTX 5070Ti 32GB 1TB 16 FHD+ FreeDOS,1798.95,1944.73,90,-145.78,PcComponentes,2026-04-15
MSI Vector 16 HX AI A2XWIG-628XES U9-275HX RTX 5080 32GB 1TB 16 QHD+ 240Hz FreeDOS,2648.95,2649.0,91,-0.05,PcComponentes,2026-04-15
MSI Vector 16 HX AI A2XWIG-628XES U9-275HX RTX 5080 32GB 1TB 16 QHD+ 240Hz FreeDOS,2648.95,2649.0,91,-0.05,PcComponentes,2026-04-15
MSI Katana 17 HX B14WGK-034XES (CM) i9-14900HX RTX 5070 32GB 1TB 17.3 W11P,1698.95,1699.0,94,-0.05,PcComponentes,2026-04-15
MSI Katana 17 HX B14WGK-034XES (CM) i9-14900HX RTX 5070 32GB 1TB 17.3 W11P,1698.95,1699.0,94,-0.05,PcComponentes,2026-04-15
MSI Cyborg A15 AI B2HWFKG-094XES (CM) R9-270 RTX 5060 64GB 1TB 15.6 W11P,1498.95,1563.78,91,-64.83,PcComponentes,2026-04-15
MSI Cyborg A15 AI B2HWFKG-094XES (CM) R9-270 RTX 5060 64GB 1TB 15.6 W11P,1498.95,1563.78,91,-64.83,PcComponentes,2026-04-15
MSI Vector 18 HX AI A2XWJG-1000ES U9-275HX RTX 5090 64GB 1TB 18 QHD+ W11H,3798.95,3799.0,90,-0.05,PcComponentes,2026-04-15
MSI Vector 18 HX AI A2XWJG-1000ES U9-275HX RTX 5090 64GB 1TB 18 QHD+ W11H,3798.95,3799.0,90,-0.05,PcComponentes,2026-04-15
MSI Cyborg 15 B2RWFKG-239XES (CM) C7-240H RTX 5060 32GB 1TB 15.6 W11P,1599.95,1258.94,91,341.01,Coolmod,2026-04-15
MSI Cyborg 15 B2RWFKG-239XES (CM) C7-240H RTX 5060 32GB 1TB 15.6 W11P,1599.95,1258.94,91,341.01,Coolmod,2026-04-15
Asus VivoBook 15 X1504VA-BQ4105 Core 5-120U 16GB 512GB 15.6 W11,549.94,569.0,97,-19.06,PcComponentes,2026-04-15
Asus VivoBook 15 X1504VA-BQ4105 Core 5-120U 16GB 512GB 15.6 W11,549.94,569.0,97,-19.06,PcComponentes,2026-04-15
HP 15-FD0267NS-CM i5-1334U 8GB 512GB 15.6 W11P,549.95,475.0,90,74.95,Coolmod,2026-04-15
HP 15-FD0267NS-CM i5-1334U 8GB 512GB 15.6 W11P,549.95,475.0,90,74.95,Coolmod,2026-04-15
HP 15-FD0267NS i5-1334U 8GB 512GB 15.6 FreeDOS,549.95,475.0,90,74.95,Coolmod,2026-04-15
