Producto,Precio Tienda,Precio Referencia,Similitud %,Diferencia €,MayorPrecio,Categoría,Fecha
"Monitor Dell 23,8″ 1080p 100Hz IPS Altura Ajustable Altavoces Low Blue Light",114.51,,89,,Mismo Precio,monitores-pc,2026-04-16
Monitor Samsung 27″ Full HD 100Hz IPS Eye Saver Flicker Free VESA HDMI,104.0,7102.03,80,6998.03,Kaggle,monitores-pc,2026-04-16
"AOC 27B36X 27"" IPS Full HD 144Hz HDR10 Adaptive Sync",107.54,1511.99,80,1404.45,Kaggle,monitores-pc,2026-04-16
"Monitor ASUS VA279HG 27"" Full HD 120Hz IPS Sin Marco Eye Care Adaptive-Sync",104.99,491.99,81,387.0,Kaggle,monitores-pc,2026-04-16
"Lenovo ThinkVision M15 Monitor Portátil 15.6"" LED IPS FullHD USB-C",178.95,,83,,Mismo Precio,monitores-pc,2026-04-16
"Dell UltraSharp U4323QE 43"" LED IPS UltraHD 4K USB-C",1070.3,881.41,80,-188.89,PcComponentes,monitores-pc,2026-04-16
"Monitor Lenovo ThinkVision T24-4v 23.8"" FullHD 120Hz IPS Webcam Altura USB",224.42,,83,,Mismo Precio,monitores-pc,2026-04-16
"ASUS VA229QSB 21.5"" LED IPS Full HD 75Hz FreeSync",109.99,744.99,84,635.0,Kaggle,monitores-pc,2026-04-16
Corsair RMx Series RM1000x PCIe 5.1 ATX 3.1 1000W 80 Plus Gold Modular,159.99,1199.4,88,1039.41,Kaggle,fuentes-alimentacion,2026-04-16
Corsair CX650 650 W 80 Plus Bronze,58.95,262.99,90,204.04,Kaggle,fuentes-alimentacion,2026-04-16
Corsair CX750 750 W 80 Plus Bronze,64.95,339.42,90,274.47,Kaggle,fuentes-alimentacion,2026-04-16
Corsair RMx Series RM850x PCIe 5.1 ATX 3.1 850W 80 Plus Gold Modular,132.99,321.99,87,189.0,Kaggle,fuentes-alimentacion,2026-04-16
Nox Hummer 650W 80+ Bronze Modular,62.9,642.99,80,580.09,Kaggle,fuentes-alimentacion,2026-04-16
NZXT C850 Gold ATX 3.1 PCIe 5.1 850W 80 Plus Gold Modular,139.9,,80,,Mismo Precio,fuentes-alimentacion,2026-04-16
Seasonic Focus GX-850 ATX 3 PCIe 5.1 850W 80 Plus Gold Modular,149.69,245.99,82,96.3,Kaggle,fuentes-alimentacion,2026-04-16
Corsair RMx Series RM750x PCIe 5.1 ATX 3.1 750W 80 Plus Gold Modular,129.19,547.99,87,418.8,Kaggle,fuentes-alimentacion,2026-04-16
Corsair HXi Series HX1200i ATX 3.1 PCIe 5.1 1200W 80 Plus Platinum Modular,241.0,148.99,88,-92.01,PcComponentes,fuentes-alimentacion,2026-04-16
Seasonic Focus GX-750 ATX 3 PCIe 5.1 750W 80 Plus Gold Modular,127.95,302.99,82,175.04,Kaggle,fuentes-alimentacion,2026-04-16
Corsair CX550 550 W 80 Plus Bronze,54.95,520.37,90,465.42,Kaggle,fuentes-alimentacion,2026-04-16
