Nombre,Precio,Valoracion,Tienda,Fecha,componente,Match,Nombre_Ref,ID,brand_name,items_Decribtion,ratings,prices,Category,P_Ref,Diferencia
"Monitor Dell 23,8″ 1080p 100Hz IPS Altura Ajustable Altavoces Low Blue Light",112.46,,PcComponentes,2026-04-17,monitores-pc,"('Dell 23.8"" 16:9 IPS Monitor', 89)","Dell 23.8"" 16:9 IPS Monitor",837,,"Dell 23.8"" 16:9 IPS Monitor",,,moniter,,
"AOC 27B36X 27"" IPS Full HD 144Hz HDR10 Adaptive Sync",107.54,,PcComponentes,2026-04-17,monitores-pc,"('ASUS VG279Q 27"" Full HD 1920 x 1080 1ms MPRT , 3ms(GTG) 144 Hz DVI, HDMI, DisplayPort FreeSync (AMD Adaptive Sync) Built-in Speakers Gaming Monitor, Full HD, IPS, 144Hz, Adaptive-Sync', 80)","ASUS VG279Q 27"" Full HD 1920 x 1080 1ms MPRT , 3ms(GTG) 144 Hz DVI, HDMI, DisplayPort FreeSync (AMD Adaptive Sync) Built-in Speakers Gaming Monitor, Full HD, IPS, 144Hz, Adaptive-Sync",35,ASUS,"ASUS VG279Q 27"" Full HD 1920 x 1080 1ms MPRT , 3ms(GTG) 144 Hz DVI, HDMI, DisplayPort FreeSync (AMD Adaptive Sync) Built-in Speakers Gaming Monitor, Full HD, IPS, 144Hz, Adaptive-Sync",(418),"1,511.99",moniter,1511.99,1404.45
Monitor Samsung 27″ Full HD 100Hz IPS Eye Saver Flicker Free VESA HDMI,104.0,,PcComponentes,2026-04-17,monitores-pc,"('SAMSUNG SE450 Series S24E450D 24"" Full HD 1920 x 1080 5ms VGA DVI DisplayPort Flicker-Free Eye Saver Mode Mega Dynamic Contrast Ratio LED Backlit LCD Monitor', 80)","SAMSUNG SE450 Series S24E450D 24"" Full HD 1920 x 1080 5ms VGA DVI DisplayPort Flicker-Free Eye Saver Mode Mega Dynamic Contrast Ratio LED Backlit LCD Monitor",514,DELL,"SAMSUNG SE450 Series S24E450D 24"" Full HD 1920 x 1080 5ms VGA DVI DisplayPort Flicker-Free Eye Saver Mode Mega Dynamic Contrast Ratio LED Backlit LCD Monitor",,"7,102.03",moniter,7102.03,6998.03
"Monitor ASUS VA279HG 27"" Full HD 120Hz IPS Sin Marco Eye Care Adaptive-Sync",104.99,,PcComponentes,2026-04-17,monitores-pc,"('ASUS VA27EHE 27"" Full HD 1920 x 1080 75Hz 1ms VGA HDMI Adaptive-Sync Asus Eye Care Low Blue Light and Flicker-Free Frameless Design LED Backlit IPS Monitor', 81)","ASUS VA27EHE 27"" Full HD 1920 x 1080 75Hz 1ms VGA HDMI Adaptive-Sync Asus Eye Care Low Blue Light and Flicker-Free Frameless Design LED Backlit IPS Monitor",56,ASUS,"ASUS VA27EHE 27"" Full HD 1920 x 1080 75Hz 1ms VGA HDMI Adaptive-Sync Asus Eye Care Low Blue Light and Flicker-Free Frameless Design LED Backlit IPS Monitor",(1),491.99,moniter,491.99,387.0
"Lenovo ThinkVision M15 Monitor Portátil 15.6"" LED IPS FullHD USB-C",176.28,,PcComponentes,2026-04-17,monitores-pc,"('Lenovo ThinkVision Monitor 61ABMAR1US Monitor', 83)",Lenovo ThinkVision Monitor 61ABMAR1US Monitor,861,,Lenovo ThinkVision Monitor 61ABMAR1US Monitor,,,moniter,,
"Dell UltraSharp U4323QE 43"" LED IPS UltraHD 4K USB-C",1140.97,,PcComponentes,2026-04-17,monitores-pc,"('Dell UP3216Q 32"" 16:9 4K UltraSharp UltraHD IPS LED Computer Monitor (2-Pack) Essentials Bundle with HDMI Cable, Surge Protector, and LCD Screen Cleaning Kit', 80)","Dell UP3216Q 32"" 16:9 4K UltraSharp UltraHD IPS LED Computer Monitor (2-Pack) Essentials Bundle with HDMI Cable, Surge Protector, and LCD Screen Cleaning Kit",541,DELL,"Dell UP3216Q 32"" 16:9 4K UltraSharp UltraHD IPS LED Computer Monitor (2-Pack) Essentials Bundle with HDMI Cable, Surge Protector, and LCD Screen Cleaning Kit",,881.41,moniter,881.41,-259.56
"Monitor Lenovo ThinkVision T24-4v 23.8"" FullHD 120Hz IPS Webcam Altura USB",222.24,,PcComponentes,2026-04-17,monitores-pc,"('Lenovo ThinkVision Monitor 61ABMAR1US Monitor', 83)",Lenovo ThinkVision Monitor 61ABMAR1US Monitor,861,,Lenovo ThinkVision Monitor 61ABMAR1US Monitor,,,moniter,,
"ASUS VA229QSB 21.5"" LED IPS Full HD 75Hz FreeSync",109.99,,PcComponentes,2026-04-17,monitores-pc,"('ASUS VP228QG 22"" (Actual size 21.5"") Full HD 1920 x 1080 1ms 75Hz DisplayPort HDMI VGA Adaptive Sync/FreeSync Asus Eye Care Ultra Low-Blue Light Flicker-Free LED Backlit Gaming Monitor', 84)","ASUS VP228QG 22"" (Actual size 21.5"") Full HD 1920 x 1080 1ms 75Hz DisplayPort HDMI VGA Adaptive Sync/FreeSync Asus Eye Care Ultra Low-Blue Light Flicker-Free LED Backlit Gaming Monitor",34,Acer America,"ASUS VP228QG 22"" (Actual size 21.5"") Full HD 1920 x 1080 1ms 75Hz DisplayPort HDMI VGA Adaptive Sync/FreeSync Asus Eye Care Ultra Low-Blue Light Flicker-Free LED Backlit Gaming Monitor",(2),744.99,moniter,744.99,635.0
Corsair RMx Series RM1000x PCIe 5.1 ATX 3.1 1000W 80 Plus Gold Modular,159.99,,PcComponentes,2026-04-17,fuentes-alimentacion,"('CORSAIR RMx Series RM1000X 1000W 80 PLUS GOLD Haswell Ready Full Modular ATX12V & EPS12V Power Supply SLI and Crossfire Ready', 88)",CORSAIR RMx Series RM1000X 1000W 80 PLUS GOLD Haswell Ready Full Modular ATX12V & EPS12V Power Supply SLI and Crossfire Ready,175,EVGA,CORSAIR RMx Series RM1000X 1000W 80 PLUS GOLD Haswell Ready Full Modular ATX12V & EPS12V Power Supply SLI and Crossfire Ready,(20),"1,199.40",power,1199.4,1039.41
Corsair CX650 650 W 80 Plus Bronze,58.95,,PcComponentes,2026-04-17,fuentes-alimentacion,"('CORSAIR CX Series CX650 650W ATX12V 80 PLUS BRONZE Certified Active PFC Power Supply', 90)",CORSAIR CX Series CX650 650W ATX12V 80 PLUS BRONZE Certified Active PFC Power Supply,75,Corsair,CORSAIR CX Series CX650 650W ATX12V 80 PLUS BRONZE Certified Active PFC Power Supply,(1),262.99,power,262.99,204.04
Corsair CX750 750 W 80 Plus Bronze,64.95,,PcComponentes,2026-04-17,fuentes-alimentacion,"('CORSAIR CX Series CX750 (New) CP-9020123-NA 750W ATX12V 80 PLUS BRONZE Certified Non-Modular Active PFC Power Supply', 90)",CORSAIR CX Series CX750 (New) CP-9020123-NA 750W ATX12V 80 PLUS BRONZE Certified Non-Modular Active PFC Power Supply,91,EVGA,CORSAIR CX Series CX750 (New) CP-9020123-NA 750W ATX12V 80 PLUS BRONZE Certified Non-Modular Active PFC Power Supply,(47),339.42,power,339.42,274.47
Corsair RMx Series RM850x PCIe 5.1 ATX 3.1 850W 80 Plus Gold Modular,132.99,,PcComponentes,2026-04-17,fuentes-alimentacion,"('CORSAIR RMx White Series RM850x White (CP-9020188-NA) 850W 80 PLUS Gold Certified, Fully Modular Power Supply, 10 Year Warranty', 87)","CORSAIR RMx White Series RM850x White (CP-9020188-NA) 850W 80 PLUS Gold Certified, Fully Modular Power Supply, 10 Year Warranty",67,Corsair,"CORSAIR RMx White Series RM850x White (CP-9020188-NA) 850W 80 PLUS Gold Certified, Fully Modular Power Supply, 10 Year Warranty",(12),321.99,power,321.99,189.0
Nox Hummer 650W 80+ Bronze Modular,66.9,,PcComponentes,2026-04-17,fuentes-alimentacion,"('EVGA 650 B5, 80 Plus BRONZE 650W, Fully Modular, EVGA ECO Mode, 5 Year Warranty, Compact 150mm Size, Power Supply - 220-B5-0650-V1', 80)","EVGA 650 B5, 80 Plus BRONZE 650W, Fully Modular, EVGA ECO Mode, 5 Year Warranty, Compact 150mm Size, Power Supply - 220-B5-0650-V1",26,SeaSonic USA,"EVGA 650 B5, 80 Plus BRONZE 650W, Fully Modular, EVGA ECO Mode, 5 Year Warranty, Compact 150mm Size, Power Supply - 220-B5-0650-V1",(1),642.99,power,642.99,576.09
NZXT C850 Gold ATX 3.1 PCIe 5.1 850W 80 Plus Gold Modular,139.9,,PcComponentes,2026-04-17,fuentes-alimentacion,"('Thermaltake Toughpower PS-TPD-0850MPCGUS-1 850W Intel ATX 12V V2.3 & EPS 12V 80 PLUS GOLD Certified Semi-Modular Active PFC Power Supply', 80)",Thermaltake Toughpower PS-TPD-0850MPCGUS-1 850W Intel ATX 12V V2.3 & EPS 12V 80 PLUS GOLD Certified Semi-Modular Active PFC Power Supply,199,,Thermaltake Toughpower PS-TPD-0850MPCGUS-1 850W Intel ATX 12V V2.3 & EPS 12V 80 PLUS GOLD Certified Semi-Modular Active PFC Power Supply,,,power,,
Seasonic Focus GX-850 ATX 3 PCIe 5.1 850W 80 Plus Gold Modular,149.69,,PcComponentes,2026-04-17,fuentes-alimentacion,"('Seasonic FOCUS GM-850, 850W 80+ Gold, Semi-Modular, Fits All ATX Systems, Fan Control in Silent and Cooling Mode, 7 Year Warranty, Perfect Power Supply for Gaming and Various Application', 82)","Seasonic FOCUS GM-850, 850W 80+ Gold, Semi-Modular, Fits All ATX Systems, Fan Control in Silent and Cooling Mode, 7 Year Warranty, Perfect Power Supply for Gaming and Various Application",60,Corsair,"Seasonic FOCUS GM-850, 850W 80+ Gold, Semi-Modular, Fits All ATX Systems, Fan Control in Silent and Cooling Mode, 7 Year Warranty, Perfect Power Supply for Gaming and Various Application",(46),245.99,power,245.99,96.3
Corsair RMx Series RM750x PCIe 5.1 ATX 3.1 750W 80 Plus Gold Modular,129.19,,PcComponentes,2026-04-17,fuentes-alimentacion,"('CORSAIR RMx Series RM750x CP-9020179-NA 750W ATX12V / EPS12V 80 PLUS GOLD Certified Full Modular Power Supply', 87)",CORSAIR RMx Series RM750x CP-9020179-NA 750W ATX12V / EPS12V 80 PLUS GOLD Certified Full Modular Power Supply,63,Corsair,CORSAIR RMx Series RM750x CP-9020179-NA 750W ATX12V / EPS12V 80 PLUS GOLD Certified Full Modular Power Supply,(19),547.99,power,547.99,418.8
Corsair HXi Series HX1200i ATX 3.1 PCIe 5.1 1200W 80 Plus Platinum Modular,241.0,,PcComponentes,2026-04-17,fuentes-alimentacion,"('CORSAIR HXi Series HX1200i 1200W 80 PLUS PLATINUM Haswell Ready Full Modular ATX12V & EPS12V SLI and Crossfire Ready Power Supply with C-Link Monitoring and Control', 88)",CORSAIR HXi Series HX1200i 1200W 80 PLUS PLATINUM Haswell Ready Full Modular ATX12V & EPS12V SLI and Crossfire Ready Power Supply with C-Link Monitoring and Control,107,Rosewill,CORSAIR HXi Series HX1200i 1200W 80 PLUS PLATINUM Haswell Ready Full Modular ATX12V & EPS12V SLI and Crossfire Ready Power Supply with C-Link Monitoring and Control,(17),148.99,power,148.99,-92.01
Corsair CX550 550 W 80 Plus Bronze,54.95,,PcComponentes,2026-04-17,fuentes-alimentacion,"('CORSAIR CX Series CX550 550W ATX12V / EPS12V 80 PLUS BRONZE Certified Active PFC Power Supply', 90)",CORSAIR CX Series CX550 550W ATX12V / EPS12V 80 PLUS BRONZE Certified Active PFC Power Supply,87,EVGA,CORSAIR CX Series CX550 550W ATX12V / EPS12V 80 PLUS BRONZE Certified Active PFC Power Supply,(29),520.37,power,520.37,465.42
Seasonic Focus GX-750 ATX 3 PCIe 5.1 750W 80 Plus Gold Modular,127.95,,PcComponentes,2026-04-17,fuentes-alimentacion,"('Seasonic FOCUS GM-750, 750W 80+ Gold, Semi-Modular, Fits All ATX Systems, Fan Control in Silent and Cooling Mode, 7 Year Warranty, Perfect Power Supply for Gaming and Various Application, SSR-750FM', 82)","Seasonic FOCUS GM-750, 750W 80+ Gold, Semi-Modular, Fits All ATX Systems, Fan Control in Silent and Cooling Mode, 7 Year Warranty, Perfect Power Supply for Gaming and Various Application, SSR-750FM",20,EVGA,"Seasonic FOCUS GM-750, 750W 80+ Gold, Semi-Modular, Fits All ATX Systems, Fan Control in Silent and Cooling Mode, 7 Year Warranty, Perfect Power Supply for Gaming and Various Application, SSR-750FM",(328),302.99,power,302.99,175.04
Thermaltake Toughpower GF1 650W 80 Plus Gold Modular,99.14,,PcComponentes,2026-04-17,fuentes-alimentacion,"('Thermaltake Toughpower Grand RGB 650W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS GOLD Certified Full Modular Power Supply PS-TPG-0650FPCGUS-R', 96)",Thermaltake Toughpower Grand RGB 650W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS GOLD Certified Full Modular Power Supply PS-TPG-0650FPCGUS-R,62,Corsair,Thermaltake Toughpower Grand RGB 650W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS GOLD Certified Full Modular Power Supply PS-TPG-0650FPCGUS-R,(5),207.99,power,207.99,108.85
Corsair SF750 750W SFX 80 Plus Platinum Modular,163.96,,PcComponentes,2026-04-17,fuentes-alimentacion,"('CORSAIR HXi Series HX750i 750W 80 PLUS PLATINUM Haswell Ready Full Modular ATX12V & EPS12V SLI and Crossfire Ready Power Supply with C-Link Monitoring and Control', 88)",CORSAIR HXi Series HX750i 750W 80 PLUS PLATINUM Haswell Ready Full Modular ATX12V & EPS12V SLI and Crossfire Ready Power Supply with C-Link Monitoring and Control,102,Rosewill,CORSAIR HXi Series HX750i 750W 80 PLUS PLATINUM Haswell Ready Full Modular ATX12V & EPS12V SLI and Crossfire Ready Power Supply with C-Link Monitoring and Control,(36),359.99,power,359.99,196.03
Be quiet Power Zone 2 1000W 80 PLUS Platinum Modular,159.95,,PcComponentes,2026-04-17,fuentes-alimentacion,"('CORSAIR HX Series HX1000 CP-9020139-NA 1000W ATX12V v2.4 / EPS12V 2.92 80 PLUS PLATINUM Certified Full Modular Power Supply', 84)",CORSAIR HX Series HX1000 CP-9020139-NA 1000W ATX12V v2.4 / EPS12V 2.92 80 PLUS PLATINUM Certified Full Modular Power Supply,88,EVGA,CORSAIR HX Series HX1000 CP-9020139-NA 1000W ATX12V v2.4 / EPS12V 2.92 80 PLUS PLATINUM Certified Full Modular Power Supply,(17),245.99,power,245.99,86.04
Corsair HXi Series HX1000i 1000W 80 Plus Platinum Modular,233.7,"4,8/5",PcComponentes,2026-04-17,fuentes-alimentacion,"('CORSAIR HX Series HX1000 CP-9020139-NA 1000W ATX12V v2.4 / EPS12V 2.92 80 PLUS PLATINUM Certified Full Modular Power Supply', 88)",CORSAIR HX Series HX1000 CP-9020139-NA 1000W ATX12V v2.4 / EPS12V 2.92 80 PLUS PLATINUM Certified Full Modular Power Supply,88,EVGA,CORSAIR HX Series HX1000 CP-9020139-NA 1000W ATX12V v2.4 / EPS12V 2.92 80 PLUS PLATINUM Certified Full Modular Power Supply,(17),245.99,power,245.99,12.29
Thermaltake Toughpower GF 3 1200W PCIe Gen 5.0 80 Plus Gold Full Modular,211.85,"4,8/5",PcComponentes,2026-04-17,fuentes-alimentacion,"('Thermaltake Toughpower 1200W Gold PS-TPD-1200MPCGUS-1 1200W ATX12V / EPS12V 80 PLUS GOLD Certified Semi-Modular Active PFC Power Supply', 81)",Thermaltake Toughpower 1200W Gold PS-TPD-1200MPCGUS-1 1200W ATX12V / EPS12V 80 PLUS GOLD Certified Semi-Modular Active PFC Power Supply,131,SeaSonic USA,Thermaltake Toughpower 1200W Gold PS-TPD-1200MPCGUS-1 1200W ATX12V / EPS12V 80 PLUS GOLD Certified Semi-Modular Active PFC Power Supply,(449),226.99,power,226.99,15.14
Thermaltake Toughpower GF 3 1000W PCIe Gen 5.0 80 Plus Gold Full Modular,186.99,,PcComponentes,2026-04-17,fuentes-alimentacion,"('Thermaltake Toughpower Grand RGB 850W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS GOLD Certified Full Modular Power Supply PS-TPG-0850FPCGUS-R', 80)",Thermaltake Toughpower Grand RGB 850W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS GOLD Certified Full Modular Power Supply PS-TPG-0850FPCGUS-R,47,Thermaltake,Thermaltake Toughpower Grand RGB 850W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS GOLD Certified Full Modular Power Supply PS-TPG-0850FPCGUS-R,(37),181.99,power,181.99,-5.0
Be quiet Power Zone 2 850W 80 PLUS Platinum Modular,139.95,,PcComponentes,2026-04-17,fuentes-alimentacion,"('CORSAIR HX Series HX850 CP-9020138-NA 850W ATX12V v2.4 / EPS12V 2.92 80 PLUS PLATINUM Certified Full Modular Power Supply', 84)",CORSAIR HX Series HX850 CP-9020138-NA 850W ATX12V v2.4 / EPS12V 2.92 80 PLUS PLATINUM Certified Full Modular Power Supply,180,,CORSAIR HX Series HX850 CP-9020138-NA 850W ATX12V v2.4 / EPS12V 2.92 80 PLUS PLATINUM Certified Full Modular Power Supply,,,power,,
Corsair SF850 850W SFX 80 Plus Platinum Modular,180.99,,PcComponentes,2026-04-17,fuentes-alimentacion,"('CORSAIR HXi Series HX850i 850W 80 PLUS PLATINUM Haswell Ready Full Modular ATX12V & EPS12V SLI and Crossfire Ready Power Supply with C-Link Monitoring and Control', 88)",CORSAIR HXi Series HX850i 850W 80 PLUS PLATINUM Haswell Ready Full Modular ATX12V & EPS12V SLI and Crossfire Ready Power Supply with C-Link Monitoring and Control,152,Corsair,CORSAIR HXi Series HX850i 850W 80 PLUS PLATINUM Haswell Ready Full Modular ATX12V & EPS12V SLI and Crossfire Ready Power Supply with C-Link Monitoring and Control,(30),285.58,power,285.58,104.59
Corsair RM750x SHIFT White Series 750W 80 Plus Gold Modular,137.99,,PcComponentes,2026-04-17,fuentes-alimentacion,"('CORSAIR RMx White Series RM750x White (CP-9020187-NA) 750W 80 PLUS Gold Certified, Fully Modular Power Supply, 10 Year Warranty', 95)","CORSAIR RMx White Series RM750x White (CP-9020187-NA) 750W 80 PLUS Gold Certified, Fully Modular Power Supply, 10 Year Warranty",71,Corsair,"CORSAIR RMx White Series RM750x White (CP-9020187-NA) 750W 80 PLUS Gold Certified, Fully Modular Power Supply, 10 Year Warranty",(321),359.99,power,359.99,222.0
