Producto,Precio Coolmod,Precio PcComponentes,Similitud (%),Diferencia (€),MayorPrecio,Fecha
MSI Vector A16 HX A8WHG-050XES R9-7945HX RTX 5070Ti 32GB 1TB 16 FHD+ FreeDOS,1798.95,1934.03,90,-135.08,PcComponentes,2026-04-16
MSI Vector 16 HX AI A2XWIG-628XES U9-275HX RTX 5080 32GB 1TB 16 QHD+ 240Hz FreeDOS,2648.95,2649.0,91,-0.05,PcComponentes,2026-04-16
MSI Katana 17 HX B14WGK-034XES (CM) i9-14900HX RTX 5070 32GB 1TB 17.3 W11P,1698.95,1699.0,94,-0.05,PcComponentes,2026-04-16
MSI Cyborg A15 AI B2HWFKG-094XES (CM) R9-270 RTX 5060 64GB 1TB 15.6 W11P,1498.95,1563.78,91,-64.83,PcComponentes,2026-04-16
MSI Vector 18 HX AI A2XWJG-1000ES U9-275HX RTX 5090 64GB 1TB 18 QHD+ W11H,3798.95,3799.0,90,-0.05,PcComponentes,2026-04-16
MSI Cyborg 15 B2RWFKG-239XES (CM) C7-240H RTX 5060 32GB 1TB 15.6 W11P,1599.95,1258.94,91,341.01,Coolmod,2026-04-16
HP 15-FD0267NS-CM i5-1334U 8GB 512GB 15.6 W11P,649.95,475.0,90,174.95,Coolmod,2026-04-16
HP 15-FD0267NS i5-1334U 8GB 512GB 15.6 FreeDOS,549.95,475.0,90,74.95,Coolmod,2026-04-16
MSI Vector A16 HX A8WIG-054XES (CM) R9-8940HX RTX 5080 64GB 1TB 16 QHD+ 240Hz W11P,2599.95,2549.0,85,50.95,Coolmod,2026-04-16
Microsoft Surface Pro 10 U5-135U 16GB 256GB 13 W11P Platino,1902.95,1677.56,93,225.39,Coolmod,2026-04-16
Lenovo V14 G4 i5-13420H 8GB 512GB 14 W11P,499.95,579.0,89,-79.05,PcComponentes,2026-04-16
Lenovo ThinkPad L13 2-en-1 Gen 6 U5-225U 16GB 512GB 13.3 W11P,1538.95,1532.6,85,6.35,Coolmod,2026-04-16
Asus VivoBook 15 X1504VA-BQ4271 Core 7-150U 16GB 512GB 15.6 FreeDOS,607.95,619.0,93,-11.05,PcComponentes,2026-04-16
Asus VivoBook 15 X1504VA-BQ5318W Core 7-150U 16GB 512GB 15.6 W11H,684.94,699.0,96,-14.06,PcComponentes,2026-04-16
Samsung Galaxy Book4 NP750XGJ-KG2ES i5-1335U 16GB 512GB 15.6 W11H,652.95,609.0,86,43.95,Coolmod,2026-04-16
Asus Vivobook 15 D1502NAQ-BQ168 AMD Ryzen 7 170 16GB 512GB 15.6 FreeDOS,646.95,599.0,94,47.95,Coolmod,2026-04-16
Dell Pro 16 PC16250 U5-235U 16GB 512GB 16 W11P,1183.95,1183.95,90,0.0,Igual,2026-04-16
HP 15-FD0011NS i7-1355U 16GB 1TB 15.6,713.95,718.99,100,-5.04,PcComponentes,2026-04-16
Lenovo V15 G4 AMN R3-7320U 8GB 512GB 15.6 FHD W11H,434.95,441.99,86,-7.04,PcComponentes,2026-04-16
Asus VivoBook 17 F1704VA-AU049W Core 7-150U 16GB 1TB 17.3 W11H,787.95,759.0,96,28.95,Coolmod,2026-04-16
Asus VivoBook 17 X1704VA-AU918W Core 7-150U 16GB 1TB 17.3 W11H,774.94,789.0,96,-14.06,PcComponentes,2026-04-16
Asus VivoBook 17 X1704VA-AU1143 Core 7-150U 16GB 1TB 17.3 FreeDOS,697.95,789.0,86,-91.05,PcComponentes,2026-04-16
Asus VivoBook 15 F1504VA-BQ257 Core 7-150U 16GB 1TB 15.6 FreeDOS,666.95,635.37,93,31.58,Coolmod,2026-04-16
Dell Pro 15 Essential PV15250 i7-1355U 16GB 512GB 15.6 W11H,684.94,757.21,95,-72.27,PcComponentes,2026-04-16
MSI Katana 17 HX B14WGK-032XES i7-14650HX RTX 5070 32GB 1TB 17.3 FreeDOS,1649.96,1699.0,85,-49.04,PcComponentes,2026-04-16
HP 15S-FD0327NS i7-1355U 16GB 512GB 15.6 FreeDOS,640.95,656.45,96,-15.5,PcComponentes,2026-04-16
Dell Pro 15 Essential PV15250 i5-1334U 8GB 512GB 15.6 W11H,505.95,604.57,95,-98.62,PcComponentes,2026-04-16
MSI Katana 15 HX B14WFK-461XES i7-14650HX RTX 5060 32GB 1TB 15.6 FreeDOS,1517.94,1399.0,100,118.94,Coolmod,2026-04-16
Apple MacBook Air M5 16GB 1TB 13 macOS Azul Cielo,1374.95,1449.0,100,-74.05,PcComponentes,2026-04-16
Apple MacBook Air M5 16GB 1TB 13 macOS Medianoche,1374.95,1449.0,100,-74.05,PcComponentes,2026-04-16
Apple MacBook Air M4 16GB 256GB 15.3 macOS Blanco Estrella,1275.94,1449.0,86,-173.06,PcComponentes,2026-04-16
Dell Pro 15 Essential PV15250 i5-1334U 16GB 512GB 15.6 W11H,590.95,674.3,95,-83.35,PcComponentes,2026-04-16
Dell Pro 14 Plus PB14250 U5-235U 16GB 512GB 14 W11P,1439.95,1449.0,91,-9.05,PcComponentes,2026-04-16
"Samsung Galaxy Book4 i5-1335U 16GB 512GB 15,6 W11P",842.95,609.0,95,233.95,Coolmod,2026-04-16
HP ProBook 4 G1i U7-255U 16GB 512GB 14 W11P,1264.95,1222.11,90,42.84,Coolmod,2026-04-16
MSI Cyborg A15 AI B2HWFKG-072XES R9-270 RTX 5060 32GB 1TB 15.6 FreeDOS,1433.95,1399.0,98,34.95,Coolmod,2026-04-16
Asus VivoBook Go 15 E1504FA-BQ2446W R5-7520U 16GB 512GB 15.6 W11H,551.95,429.0,85,122.95,Coolmod,2026-04-16
Acer Aspire Go 15 AG15-72P-5187 CI5-120U 16GB 1TB 15.6 W11H,583.95,459.0,86,124.95,Coolmod,2026-04-16
Lenovo V15 G5 IRL 83GW002RSP Core 5-120U 16GB 512GB 15.6 W11H,589.95,549.0,85,40.95,Coolmod,2026-04-16
Lenovo V15 G4 AMN R5-7520U 16GB 512GB 15.6 W11H,527.95,517.97,91,9.98,Coolmod,2026-04-16
Lenovo V15 G4 AMN AMD R3-7320U 8GB 512GB 15.6 FreeDOS,377.96,441.99,88,-64.03,PcComponentes,2026-04-16
Asus Vivobook 17 X1704VA-AU979W Core 5-120U 16GB 1TB 17.3 W11H,736.95,599.0,89,137.95,Coolmod,2026-04-16
Apple MacBook Pro M4 Max 48GB 1TB 16 macOS Plata,4192.95,2499.0,86,1693.95,Coolmod,2026-04-16
Asus ZenBook S16 OLED UM5606WA-RK320W AMD Ryzen AI 9 HX 370 32GB 1TB 16 W11H,1736.96,1599.99,91,136.97,Coolmod,2026-04-16
Lenovo V15 G4 AMN R5-7520U 16GB 512GB 15.6 FHD FreeDOS,497.95,517.97,89,-20.02,PcComponentes,2026-04-16
Asus Vivobook Go 15 E1504GA-NJ463W i3-N305 8GB 512GB 15.6 W11H,485.95,399.0,89,86.95,Coolmod,2026-04-16
Samsung Galaxy Book4 i7-1355U 16GB 512GB 15.6 W11P,990.95,699.0,95,291.95,Coolmod,2026-04-16
HP 15-FD0319NS i7-1355U 16GB 512GB 15.6 FreeDOS,574.96,579.0,89,-4.04,PcComponentes,2026-04-16
