Nombre,Precio,Tienda,Fecha,Match,Nombre_Ref,ID,Name,Price,Rating,RAM(GB),ROM(GB),Rear Camera,Front Camera,Battery,Processor,P_Ref,Diferencia
"MOTOROLA EDGE EDGE 60 FUSION 6.67"" 5G 8GB/256GB GRIS",329.0,PCBOX,2026-04-17,"('Motorola a50', 80)",Motorola a50,668,Motorola a50,"1,350",4.1,4,4.0,,,1750.0,,12.37,-316.63
"MOTOROLA MOTO G05 MOTO G05 6.67"" 4G 8GB/256GB VERDE",179.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-165.72
"MOTOROLA MOTO G56 5G MOTO G56 5G 6.72"" 5G 8GB/512GB NEGRO",279.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-265.72
"MOTOROLA EDGE EDGE 60 PRO 6.67"" 5G 12GB/512GB GRIS",599.0,PCBOX,2026-04-17,"('Motorola a50', 80)",Motorola a50,668,Motorola a50,"1,350",4.1,4,4.0,,,1750.0,,12.37,-586.63
"MOTOROLA MOTO G05 MOTO G05 6.67"" 4G 4GB/128GB ROJO",149.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-135.72
"MOTOROLA MOTO G15 MOTO G15 6.72"" 4G 8GB/256GB VERDE",199.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-185.72
"MOTOROLA MOTO G86 5G MOTO G86 5G 6.67"" 5G 8GB/256GB AZUL OSCURO",279.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-265.72
"MOTOROLA EDGE EDGE 60 PRO 6.67"" 5G 12GB/512GB AZUL",599.0,PCBOX,2026-04-17,"('Motorola a50', 80)",Motorola a50,668,Motorola a50,"1,350",4.1,4,4.0,,,1750.0,,12.37,-586.63
"MOTOROLA MOTO G15 MOTO G15 6.72"" 4G 8GB/256GB NARANJA",199.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-185.72
"MOTOROLA EDGE EDGE 60 6.67"" 5G 12GB/512GB AZUL",429.0,PCBOX,2026-04-17,"('Motorola a50', 80)",Motorola a50,668,Motorola a50,"1,350",4.1,4,4.0,,,1750.0,,12.37,-416.63
"MOTOROLA MOTO G56 5G MOTO G56 5G 6.72"" 5G 8GB/256GB NEGRO",249.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-235.72
"MOTOROLA EDGE EDGE 60 FUSION 6.67"" 5G 8GB/256GB TURQUESA",329.0,PCBOX,2026-04-17,"('Motorola a50', 80)",Motorola a50,668,Motorola a50,"1,350",4.1,4,4.0,,,1750.0,,12.37,-316.63
"MOTOROLA MOTO G86 5G MOTO G86 5G 6.67"" 5G 8GB/256GB LILA",279.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-265.72
"MOTOROLA MOTO G56 5G MOTO G56 5G 6.72"" 5G 8GB/256GB GRIS",249.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-235.72
"MOTOROLA EDGE EDGE 60 6.67"" 5G 12GB/512GB VERDE",429.0,PCBOX,2026-04-17,"('Motorola a50', 80)",Motorola a50,668,Motorola a50,"1,350",4.1,4,4.0,,,1750.0,,12.37,-416.63
"MOTOROLA MOTO G15 MOTO G15 6.72"" 4G 8GB/128GB VERDE",179.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-165.72
"MOTOROLA MOTO G15 MOTO G15 6.72"" 4G 8GB/512GB MARINA",249.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-235.72
"MOTOROLA MOTO G56 5G MOTO G56 5G 6.72"" 5G 8GB/512GB GRIS",279.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-265.72
"MOTOROLA MOTO G86 5G MOTO G86 5G 6.67"" 5G 8GB/256GB ROSA",279.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-265.72
"MOTOROLA RAZR RAZR 60 ULTRA 6.96"" 5G 16GB/512GB MADERA",1299.0,PCBOX,2026-04-17,"('Motorola a50', 80)",Motorola a50,668,Motorola a50,"1,350",4.1,4,4.0,,,1750.0,,12.37,-1286.63
"MOTOROLA MOTO G06 MOTO G06 6.88"" 4G 4GB/256GB VERDE",129.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-115.72
"APPLE IPHONE 16 PLUS 6.7"" 5G 256GB ROSA",1112.57,PCBOX,2026-04-17,"('Apple iPhone 6s Plus (Rose Gold, 16 GB)', 81)","Apple iPhone 6s Plus (Rose Gold, 16 GB)",973,"Apple iPhone 6s Plus (Rose Gold, 16 GB)","49,999",4.4,16,16.0,12MP Rear Camera,5MP,,,458.16,-654.41
"APPLE IPHONE 16 PLUS 6.7"" 5G 128GB AZUL",990.32,PCBOX,2026-04-17,"('Apple iPhone 16 Plus (Teal, 256 GB)', 80)","Apple iPhone 16 Plus (Teal, 256 GB)",426,"Apple iPhone 16 Plus (Teal, 256 GB)","81,999",4.6,256,256.0,48MP + 12MP,12MP,,"A18 Chip, 6 Core",751.39,-238.93
"APPLE IPHONE 16 PLUS 6.7"" 5G 256GB AZUL",1123.75,PCBOX,2026-04-17,"('Apple iPhone 16 Plus (Teal, 256 GB)', 83)","Apple iPhone 16 Plus (Teal, 256 GB)",426,"Apple iPhone 16 Plus (Teal, 256 GB)","81,999",4.6,256,256.0,48MP + 12MP,12MP,,"A18 Chip, 6 Core",751.39,-372.36
"MOTOROLA MOTO G15 MOTO G15 6.72"" 4G 8GB/128GB NARANJA",179.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-165.72
"MOTOROLA MOTO G15 MOTO G15 6.72"" 4G 8GB/512GB VERDE",249.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-235.72
"MOTOROLA MOTO G06 MOTO G06 6.88"" 4G 4GB/256GB AZUL",129.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-115.72
"MOTOROLA MOTO G06 POWER MOTO G06 POWER 6.88"" 4G 4GB/256GB AZUL",139.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-125.72
"MOTOROLA MOTO G06 POWER MOTO G06 POWER 6.88"" 4G 4GB/256GB CAQUI",139.0,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-125.72
"MOTOROLA MOTO G85 5G 6.67"" 5G 12GB/256GB VERDE",230.65,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-217.37
"MOTOROLA MOTO G55 5G MOTO G55 5G 6.49"" 5G 8GB/256GB GRIS",245.11,PCBOX,2026-04-17,"('Motorola Moto A10E', 84)",Motorola Moto A10E,182,Motorola Moto A10E,"1,449",4.0,4,32.0,,,800.0,,13.28,-231.83
"APPLE IPHONE 17 6.3"" 5G 256GB LAVANDA",980.48,PCBOX,2026-04-17,"('Apple iPhone 17 (Lavender, 256 GB)', 81)","Apple iPhone 17 (Lavender, 256 GB)",233,"Apple iPhone 17 (Lavender, 256 GB)","82,900",4.7,256,256.0,48MP + 48MP,18MP,,"A19 Chip, 6 Core",759.64,-220.84
