Nombre_PcBox,Precio_PcBox,Tienda,Fecha,Match,Nombre_Ref,Nombre_PcComp,Precio_PcComp
"REALME C71 6.67"", OCTA CORE, 8GB, 256GB, AND15 , VERDE",169.0,PCBOX,2026-04-17,"('Realme 14x 5G 8GB 256GB 6.67"" Verde', 89)","Realme 14x 5G 8GB 256GB 6.67"" Verde","Realme 14x 5G 8GB 256GB 6.67"" Verde",140.0
"REALME 14X 5G 6.67"" OCTA CORE, 8GB, 256GB, ANDR 14, GREEN",239.99,PCBOX,2026-04-17,"('Realme 14x 5G 8GB 256GB 6.67"" Verde', 90)","Realme 14x 5G 8GB 256GB 6.67"" Verde","Realme 14x 5G 8GB 256GB 6.67"" Verde",140.0
"MOTOROLA EDGE EDGE 60 FUSION 6.67"" 5G 8GB/256GB GRIS",329.0,PCBOX,2026-04-17,"('Motorola Edge 60 Fusion 5G Turquesa 8GB 256GB 6,67"" Dual SIM', 94)","Motorola Edge 60 Fusion 5G Turquesa 8GB 256GB 6,67"" Dual SIM","Motorola Edge 60 Fusion 5G Turquesa 8GB 256GB 6,67"" Dual SIM",269.0
"MOTOROLA MOTO G05 MOTO G05 6.67"" 4G 8GB/256GB VERDE",179.0,PCBOX,2026-04-17,"('Motorola Moto G15 4G 8GB 256GB 6.72"" Verde', 95)","Motorola Moto G15 4G 8GB 256GB 6.72"" Verde","Motorola Moto G15 4G 8GB 256GB 6.72"" Verde",129.0
"SAMSUNG GALAXY S26 ULTRA 6.9"" 5G 12GB/256GB VIOLETA",1449.0,PCBOX,2026-04-17,"('Samsung Galaxy S26 Ultra 5G 12GB 512GB 6.9"" Violeta Cobalto', 94)","Samsung Galaxy S26 Ultra 5G 12GB 512GB 6.9"" Violeta Cobalto","Samsung Galaxy S26 Ultra 5G 12GB 512GB 6.9"" Violeta Cobalto",1649.0
"MOTOROLA MOTO G56 5G MOTO G56 5G 6.72"" 5G 8GB/512GB NEGRO",279.0,PCBOX,2026-04-17,"('Motorola Moto G56 5G 8GB 512GB 6.72"" Negro', 100)","Motorola Moto G56 5G 8GB 512GB 6.72"" Negro","Motorola Moto G56 5G 8GB 512GB 6.72"" Negro",218.75
"MOTOROLA EDGE EDGE 60 PRO 6.67"" 5G 12GB/512GB GRIS",599.0,PCBOX,2026-04-17,"('Motorola Edge 60 Pro 5G 12GB 6.67"" 512GB Gris pantalla Super HD', 100)","Motorola Edge 60 Pro 5G 12GB 6.67"" 512GB Gris pantalla Super HD","Motorola Edge 60 Pro 5G 12GB 6.67"" 512GB Gris pantalla Super HD",482.45
"MOTOROLA MOTO G15 MOTO G15 6.72"" 4G 8GB/256GB VERDE",199.0,PCBOX,2026-04-17,"('Motorola Moto G15 4G 8GB 256GB 6.72"" Verde', 100)","Motorola Moto G15 4G 8GB 256GB 6.72"" Verde","Motorola Moto G15 4G 8GB 256GB 6.72"" Verde",129.0
"MOTOROLA MOTO G86 5G MOTO G86 5G 6.67"" 5G 8GB/256GB AZUL OSCURO",279.0,PCBOX,2026-04-17,"('Motorola Moto G86 5G 8GB 256GB 6.67"" Azul oscuro', 100)","Motorola Moto G86 5G 8GB 256GB 6.67"" Azul oscuro","Motorola Moto G86 5G 8GB 256GB 6.67"" Azul oscuro",229.0
"MOTOROLA EDGE EDGE 60 PRO 6.67"" 5G 12GB/512GB AZUL",599.0,PCBOX,2026-04-17,"('Motorola Edge 60 Pro 5G 12GB 512GB 6.67"" Azul', 100)","Motorola Edge 60 Pro 5G 12GB 512GB 6.67"" Azul","Motorola Edge 60 Pro 5G 12GB 512GB 6.67"" Azul",505.52
"MOTOROLA MOTO G15 MOTO G15 6.72"" 4G 8GB/256GB NARANJA",199.0,PCBOX,2026-04-17,"('Motorola Moto G15 4G 8GB 256GB 6.72"" Naranja', 100)","Motorola Moto G15 4G 8GB 256GB 6.72"" Naranja","Motorola Moto G15 4G 8GB 256GB 6.72"" Naranja",129.0
"MOTOROLA EDGE EDGE 60 6.67"" 5G 12GB/512GB AZUL",429.0,PCBOX,2026-04-17,"('Motorola Edge 60 Pro 5G 12GB 512GB 6.67"" Azul', 100)","Motorola Edge 60 Pro 5G 12GB 512GB 6.67"" Azul","Motorola Edge 60 Pro 5G 12GB 512GB 6.67"" Azul",505.52
"APPLE IPHONE 16 PLUS 6.7"" 5G 128GB VERDE AZULADO",980.48,PCBOX,2026-04-17,"('Apple iPhone 16 Plus 256GB Verde Azulado', 92)",Apple iPhone 16 Plus 256GB Verde Azulado,Apple iPhone 16 Plus 256GB Verde Azulado,1049.0
"APPLE IPHONE 15 6.1"" 5G 128GB AZUL",726.44,PCBOX,2026-04-17,"('Apple iPhone 15 128GB Azul Libre', 90)",Apple iPhone 15 128GB Azul Libre,Apple iPhone 15 128GB Azul Libre,669.0
"APPLE IPHONE 16 6.1"" 5G 128GB VERDE AZULADO",887.68,PCBOX,2026-04-17,"('Apple iPhone 16 128 GB Verde Azulado', 90)",Apple iPhone 16 128 GB Verde Azulado,Apple iPhone 16 128 GB Verde Azulado,779.0
"MOTOROLA MOTO G56 5G MOTO G56 5G 6.72"" 5G 8GB/256GB NEGRO",249.0,PCBOX,2026-04-17,"('Motorola Moto G56 5G 8GB 256GB 6,72"" Negro Pantalla FHD+', 100)","Motorola Moto G56 5G 8GB 256GB 6,72"" Negro Pantalla FHD+","Motorola Moto G56 5G 8GB 256GB 6,72"" Negro Pantalla FHD+",179.0
"APPLE IPHONE AIR 6.5"" 5G 256GB AZUL",993.19,PCBOX,2026-04-17,"('Apple iPhone Air 256GB Azul Cielo', 90)",Apple iPhone Air 256GB Azul Cielo,Apple iPhone Air 256GB Azul Cielo,999.0
"SAMSUNG GALAXY A26 6.7"" FHD+/5G/ OC/ 6GB/128GB/ AND15 /BLACK",222.99,PCBOX,2026-04-17,"('Samsung Galaxy A26 5G 6GB 128GB 6.7"" Negro', 92)","Samsung Galaxy A26 5G 6GB 128GB 6.7"" Negro","Samsung Galaxy A26 5G 6GB 128GB 6.7"" Negro",209.0
"MOTOROLA EDGE EDGE 60 FUSION 6.67"" 5G 8GB/256GB TURQUESA",329.0,PCBOX,2026-04-17,"('Motorola Edge 60 Fusion 5G Turquesa 8GB 256GB 6,67"" Dual SIM', 100)","Motorola Edge 60 Fusion 5G Turquesa 8GB 256GB 6,67"" Dual SIM","Motorola Edge 60 Fusion 5G Turquesa 8GB 256GB 6,67"" Dual SIM",269.0
"APPLE IPHONE 15 6.1"" 5G 256GB AZUL",858.53,PCBOX,2026-04-17,"('Apple iPhone 15 256GB Azul Libre', 90)",Apple iPhone 15 256GB Azul Libre,Apple iPhone 15 256GB Azul Libre,769.0
