Nombre,Precio,Valoracion,Tienda,Fecha
"Portátil Alurin Flex Advance AMD Ryzen 7-5825U 15.6""/ 16GB/500GB/Windows 11 Home",499.99,"4,2/5",PcComponentes,2026-04-17
"PcCom Revolt 5060 Intel Core i7-14650HX 16"" /16GB/500GB/Windows Home",1299.99,"2,9/5",PcComponentes,2026-04-17
"MSI Cyborg 15 B2RWFKG-201XES Intel Core 7 240H 32GB DDR5 1TB SSD RTX 5060 15.6"" FHD RGB",1149.0,"4,6/5",PcComponentes,2026-04-17
"Portátil Lenovo IdeaPad Slim 3 15AMN8 15,6"" AMD Ryzen 5 7520U 16GB 512GB SSD Azul",449.0,"4,9/5",PcComponentes,2026-04-17
"Portátil Asus Vivobook 15 F1504VA-BQ305W 15.6"" Intel Core 7 150U 16GB 1TB SSD Intel Graphics Windows 11 Home",639.0,"4,7/5",PcComponentes,2026-04-17
"Portátil Lenovo Legion 5 15AHP10 15.1"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 OLED Negro",1299.0,,PcComponentes,2026-04-17
"Portátil Acer Aspire Go 15,6"" AMD Ryzen 5 7430U 8GB 512GB SSD Radeon Graphics Windows 11 Home",429.0,N/A,PcComponentes,2026-04-17
"Portátil Lenovo IdeaPad Slim 3 15IRH10 15,3"" Intel Core i5-13420H 16GB 1TB SSD Intel UHD Graphics",539.0,,PcComponentes,2026-04-17
"Samsung Galaxy Book4 15 Intel Core i5-1335U/16GB/512GB SSD/15.6""",609.0,,PcComponentes,2026-04-17
"Portátil Lenovo Legion 5 15AHP10 15.3"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 Negro",1159.0,,PcComponentes,2026-04-17
"Apple Macbook Air Apple M4 10 Núcleos/16 GB/256GB SSD/GPU 8 Núcleos/13.6"" Azul Cielo",899.0,,PcComponentes,2026-04-17
Acer Aspire Go 15 AG15-42P-R26T 15.6″ AMD Ryzen 7 5825U 16GB 512GB SSD FHD Wi-Fi 6 Plata,469.99,,PcComponentes,2026-04-17
